Date	Open	High	Low	Close	Index	Country
12-30-2016	3097.35	3108.84	3089.99	3103.64	SSE Composite Index	China-Shanghai
12-29-2016	3095.84	3111.80	3087.34	3096.10	SSE Composite Index	China-Shanghai
12-28-2016	3113.77	3118.78	3094.55	3102.24	SSE Composite Index	China-Shanghai
12-27-2016	3117.39	3127.88	3113.75	3114.66	SSE Composite Index	China-Shanghai
12-26-2016	3095.58	3122.88	3068.42	3122.57	SSE Composite Index	China-Shanghai
12-23-2016	3134.93	3138.40	3103.75	3110.15	SSE Composite Index	China-Shanghai
12-22-2016	3132.16	3143.17	3126.89	3139.56	SSE Composite Index	China-Shanghai
12-21-2016	3107.24	3140.25	3107.24	3137.43	SSE Composite Index	China-Shanghai
12-20-2016	3115.90	3117.01	3084.80	3102.88	SSE Composite Index	China-Shanghai
12-19-2016	3120.70	3125.28	3110.08	3118.08	SSE Composite Index	China-Shanghai
12-16-2016	3111.51	3128.87	3106.35	3122.98	SSE Composite Index	China-Shanghai
12-15-2016	3125.76	3138.78	3100.91	3117.68	SSE Composite Index	China-Shanghai
12-14-2016	3149.38	3170.02	3136.35	3140.53	SSE Composite Index	China-Shanghai
12-13-2016	3138.99	3162.50	3118.71	3155.04	SSE Composite Index	China-Shanghai
12-12-2016	3233.67	3245.09	3149.90	3152.97	SSE Composite Index	China-Shanghai
12-9-2016	3209.34	3244.80	3207.04	3232.88	SSE Composite Index	China-Shanghai
12-8-2016	3225.55	3228.12	3211.47	3215.37	SSE Composite Index	China-Shanghai
12-7-2016	3198.47	3222.43	3189.48	3222.24	SSE Composite Index	China-Shanghai
12-6-2016	3202.03	3215.31	3196.52	3199.65	SSE Composite Index	China-Shanghai
12-5-2016	3203.78	3219.52	3194.88	3204.71	SSE Composite Index	China-Shanghai
12-2-2016	3270.12	3279.71	3235.28	3243.84	SSE Composite Index	China-Shanghai
12-1-2016	3257.03	3279.67	3256.26	3273.31	SSE Composite Index	China-Shanghai
11-30-2016	3272.14	3277.27	3239.52	3250.03	SSE Composite Index	China-Shanghai
11-29-2016	3269.23	3301.21	3263.40	3282.92	SSE Composite Index	China-Shanghai
11-28-2016	3270.05	3288.34	3267.67	3277.00	SSE Composite Index	China-Shanghai
11-25-2016	3241.24	3262.44	3209.60	3261.94	SSE Composite Index	China-Shanghai
11-24-2016	3237.43	3257.86	3232.87	3241.74	SSE Composite Index	China-Shanghai
11-23-2016	3247.94	3262.88	3231.59	3241.14	SSE Composite Index	China-Shanghai
11-22-2016	3220.98	3249.68	3220.98	3248.35	SSE Composite Index	China-Shanghai
11-21-2016	3188.50	3229.76	3188.28	3218.15	SSE Composite Index	China-Shanghai
11-18-2016	3207.19	3212.39	3187.50	3192.86	SSE Composite Index	China-Shanghai
11-17-2016	3198.50	3211.05	3187.21	3208.45	SSE Composite Index	China-Shanghai
11-16-2016	3208.50	3210.89	3195.41	3205.06	SSE Composite Index	China-Shanghai
11-15-2016	3209.95	3214.29	3195.04	3206.99	SSE Composite Index	China-Shanghai
11-14-2016	3187.71	3221.46	3186.80	3210.37	SSE Composite Index	China-Shanghai
11-11-2016	3169.40	3202.74	3166.07	3196.04	SSE Composite Index	China-Shanghai
11-10-2016	3148.54	3172.31	3148.54	3171.28	SSE Composite Index	China-Shanghai
11-9-2016	3146.08	3146.95	3096.95	3128.37	SSE Composite Index	China-Shanghai
11-8-2016	3140.94	3156.88	3134.95	3147.89	SSE Composite Index	China-Shanghai
11-7-2016	3124.89	3139.20	3117.10	3133.33	SSE Composite Index	China-Shanghai
11-4-2016	3126.35	3141.33	3119.54	3125.32	SSE Composite Index	China-Shanghai
11-3-2016	3096.76	3140.93	3094.10	3128.94	SSE Composite Index	China-Shanghai
11-2-2016	3115.73	3118.98	3099.82	3102.73	SSE Composite Index	China-Shanghai
11-1-2016	3101.66	3122.61	3097.04	3122.44	SSE Composite Index	China-Shanghai
10-31-2016	3097.19	3102.30	3081.07	3100.49	SSE Composite Index	China-Shanghai
10-28-2016	3111.70	3128.64	3101.24	3104.27	SSE Composite Index	China-Shanghai
10-27-2016	3112.60	3114.76	3100.39	3112.35	SSE Composite Index	China-Shanghai
10-26-2016	3129.84	3129.84	3110.39	3116.31	SSE Composite Index	China-Shanghai
10-25-2016	3127.97	3132.50	3121.05	3131.94	SSE Composite Index	China-Shanghai
10-24-2016	3092.05	3137.03	3090.79	3128.25	SSE Composite Index	China-Shanghai
10-21-2016	3081.39	3101.85	3069.27	3090.94	SSE Composite Index	China-Shanghai
10-20-2016	3084.91	3089.68	3076.29	3084.46	SSE Composite Index	China-Shanghai
10-19-2016	3085.75	3096.22	3076.77	3084.72	SSE Composite Index	China-Shanghai
10-18-2016	3037.40	3084.19	3037.40	3083.88	SSE Composite Index	China-Shanghai
10-17-2016	3064.69	3068.81	3033.75	3041.17	SSE Composite Index	China-Shanghai
10-14-2016	3056.99	3064.79	3043.18	3063.81	SSE Composite Index	China-Shanghai
10-13-2016	3057.97	3065.00	3052.64	3061.35	SSE Composite Index	China-Shanghai
10-12-2016	3057.32	3060.51	3048.89	3058.50	SSE Composite Index	China-Shanghai
10-11-2016	3051.62	3066.10	3048.02	3065.25	SSE Composite Index	China-Shanghai
10-10-2016	3020.46	3048.24	3014.62	3048.14	SSE Composite Index	China-Shanghai
09-30-2016	2994.25	3009.20	2993.06	3004.70	SSE Composite Index	China-Shanghai
09-29-2016	2992.17	3009.20	2991.91	2998.48	SSE Composite Index	China-Shanghai
09-28-2016	3000.70	3000.70	2984.32	2987.86	SSE Composite Index	China-Shanghai
09-27-2016	2974.59	2998.23	2969.13	2998.17	SSE Composite Index	China-Shanghai
09-26-2016	3028.24	3028.24	2980.12	2980.43	SSE Composite Index	China-Shanghai
09-23-2016	3044.79	3046.80	3032.80	3033.90	SSE Composite Index	China-Shanghai
09-22-2016	3038.42	3054.44	3035.07	3042.31	SSE Composite Index	China-Shanghai
09-21-2016	3021.58	3032.45	3017.54	3025.87	SSE Composite Index	China-Shanghai
09-20-2016	3027.17	3027.82	3015.88	3023.00	SSE Composite Index	China-Shanghai
09-19-2016	3005.32	3026.65	3005.32	3026.05	SSE Composite Index	China-Shanghai
09-14-2016	3008.90	3017.94	2995.42	3002.85	SSE Composite Index	China-Shanghai
09-13-2016	3025.03	3029.72	3008.74	3023.51	SSE Composite Index	China-Shanghai
09-12-2016	3037.51	3040.95	2999.93	3021.98	SSE Composite Index	China-Shanghai
09-9-2016	3095.43	3101.79	3078.22	3078.85	SSE Composite Index	China-Shanghai
09-8-2016	3089.95	3096.78	3083.90	3095.95	SSE Composite Index	China-Shanghai
09-7-2016	3091.33	3105.68	3087.88	3091.93	SSE Composite Index	China-Shanghai
09-6-2016	3071.06	3095.51	3053.19	3090.71	SSE Composite Index	China-Shanghai
09-5-2016	3070.71	3085.49	3065.33	3072.10	SSE Composite Index	China-Shanghai
09-2-2016	3057.49	3072.53	3050.49	3067.35	SSE Composite Index	China-Shanghai
09-1-2016	3083.96	3088.70	3062.88	3063.31	SSE Composite Index	China-Shanghai
08-31-2016	3072.92	3087.70	3063.40	3085.49	SSE Composite Index	China-Shanghai
08-30-2016	3071.44	3082.99	3065.97	3074.68	SSE Composite Index	China-Shanghai
08-29-2016	3068.46	3074.94	3058.79	3070.03	SSE Composite Index	China-Shanghai
08-26-2016	3069.85	3087.65	3063.89	3070.31	SSE Composite Index	China-Shanghai
08-25-2016	3073.44	3073.44	3041.51	3068.33	SSE Composite Index	China-Shanghai
08-24-2016	3092.02	3097.15	3079.55	3085.88	SSE Composite Index	China-Shanghai
08-23-2016	3081.57	3101.11	3073.53	3089.71	SSE Composite Index	China-Shanghai
08-22-2016	3107.38	3112.74	3083.59	3084.81	SSE Composite Index	China-Shanghai
08-19-2016	3100.39	3113.34	3082.77	3108.10	SSE Composite Index	China-Shanghai
08-18-2016	3107.75	3125.58	3093.32	3104.11	SSE Composite Index	China-Shanghai
08-17-2016	3106.99	3114.25	3090.28	3109.55	SSE Composite Index	China-Shanghai
08-16-2016	3130.53	3140.44	3102.07	3110.04	SSE Composite Index	China-Shanghai
08-15-2016	3056.48	3137.48	3053.87	3125.20	SSE Composite Index	China-Shanghai
08-12-2016	3000.27	3051.05	2999.04	3050.67	SSE Composite Index	China-Shanghai
08-11-2016	3013.68	3038.05	3001.17	3002.64	SSE Composite Index	China-Shanghai
08-10-2016	3023.47	3033.20	3017.09	3018.75	SSE Composite Index	China-Shanghai
08-9-2016	3001.31	3025.91	2998.68	3025.68	SSE Composite Index	China-Shanghai
08-8-2016	2972.62	3004.72	2959.05	3004.28	SSE Composite Index	China-Shanghai
08-5-2016	2978.78	2991.68	2971.56	2976.70	SSE Composite Index	China-Shanghai
08-4-2016	2976.41	2982.86	2958.93	2982.43	SSE Composite Index	China-Shanghai
08-3-2016	2963.21	2981.16	2956.79	2978.46	SSE Composite Index	China-Shanghai
08-2-2016	2950.08	2971.28	2946.64	2971.28	SSE Composite Index	China-Shanghai
08-1-2016	2971.95	2972.88	2931.96	2953.39	SSE Composite Index	China-Shanghai
07-29-2016	2992.54	3000.05	2972.92	2979.34	SSE Composite Index	China-Shanghai
07-28-2016	2980.50	3003.36	2968.18	2994.32	SSE Composite Index	China-Shanghai
07-27-2016	3050.37	3057.42	2939.23	2992.00	SSE Composite Index	China-Shanghai
07-26-2016	3014.04	3050.61	3013.80	3050.17	SSE Composite Index	China-Shanghai
07-25-2016	3008.09	3027.12	3003.29	3015.83	SSE Composite Index	China-Shanghai
07-22-2016	3038.12	3039.27	3007.46	3012.82	SSE Composite Index	China-Shanghai
07-21-2016	3027.60	3053.33	3027.37	3039.01	SSE Composite Index	China-Shanghai
07-20-2016	3034.71	3043.00	3022.63	3027.90	SSE Composite Index	China-Shanghai
07-19-2016	3040.23	3043.60	3014.29	3036.60	SSE Composite Index	China-Shanghai
07-18-2016	3047.64	3058.32	3031.64	3043.56	SSE Composite Index	China-Shanghai
07-15-2016	3056.68	3062.68	3044.54	3054.30	SSE Composite Index	China-Shanghai
07-14-2016	3054.97	3057.05	3036.52	3054.02	SSE Composite Index	China-Shanghai
07-13-2016	3049.51	3069.05	3048.20	3060.69	SSE Composite Index	China-Shanghai
07-12-2016	2992.52	3049.68	2984.42	3049.38	SSE Composite Index	China-Shanghai
07-11-2016	2993.75	3022.94	2990.91	2994.92	SSE Composite Index	China-Shanghai
07-8-2016	3000.33	3001.55	2983.88	2988.09	SSE Composite Index	China-Shanghai
07-7-2016	3009.35	3024.11	2994.64	3016.85	SSE Composite Index	China-Shanghai
07-6-2016	2998.52	3017.65	2984.83	3017.29	SSE Composite Index	China-Shanghai
07-5-2016	2991.75	3010.28	2990.64	3006.39	SSE Composite Index	China-Shanghai
07-4-2016	2924.29	2992.50	2922.52	2988.60	SSE Composite Index	China-Shanghai
07-1-2016	2931.80	2944.99	2925.81	2932.48	SSE Composite Index	China-Shanghai
06-30-2016	2931.48	2938.14	2922.31	2929.61	SSE Composite Index	China-Shanghai
06-29-2016	2918.53	2934.00	2915.06	2931.59	SSE Composite Index	China-Shanghai
06-28-2016	2885.01	2913.58	2878.82	2912.56	SSE Composite Index	China-Shanghai
06-27-2016	2840.56	2895.73	2840.28	2895.70	SSE Composite Index	China-Shanghai
06-24-2016	2883.76	2899.57	2807.60	2854.29	SSE Composite Index	China-Shanghai
06-23-2016	2902.40	2904.11	2878.66	2891.96	SSE Composite Index	China-Shanghai
06-22-2016	2872.73	2905.98	2869.51	2905.55	SSE Composite Index	China-Shanghai
06-21-2016	2898.38	2919.30	2869.18	2878.56	SSE Composite Index	China-Shanghai
06-20-2016	2887.64	2891.66	2864.02	2888.81	SSE Composite Index	China-Shanghai
06-17-2016	2873.01	2900.30	2872.18	2885.10	SSE Composite Index	China-Shanghai
06-16-2016	2878.40	2887.74	2865.39	2872.82	SSE Composite Index	China-Shanghai
06-15-2016	2814.69	2894.26	2811.78	2887.21	SSE Composite Index	China-Shanghai
06-14-2016	2824.23	2843.46	2822.06	2842.19	SSE Composite Index	China-Shanghai
06-13-2016	2897.27	2911.16	2832.51	2833.07	SSE Composite Index	China-Shanghai
06-8-2016	2932.38	2937.99	2908.37	2927.16	SSE Composite Index	China-Shanghai
06-7-2016	2936.28	2938.44	2923.50	2936.04	SSE Composite Index	China-Shanghai
06-6-2016	2940.99	2945.94	2922.28	2934.10	SSE Composite Index	China-Shanghai
06-3-2016	2929.79	2945.52	2915.18	2938.68	SSE Composite Index	China-Shanghai
06-2-2016	2911.22	2925.67	2906.52	2925.23	SSE Composite Index	China-Shanghai
06-1-2016	2917.15	2929.08	2909.51	2913.51	SSE Composite Index	China-Shanghai
05-31-2016	2822.59	2917.14	2822.59	2916.62	SSE Composite Index	China-Shanghai
05-30-2016	2814.65	2830.97	2794.66	2822.45	SSE Composite Index	China-Shanghai
05-27-2016	2817.97	2832.80	2809.80	2821.05	SSE Composite Index	China-Shanghai
05-26-2016	2813.54	2827.09	2780.76	2822.44	SSE Composite Index	China-Shanghai
05-25-2016	2835.03	2843.16	2807.75	2815.09	SSE Composite Index	China-Shanghai
05-24-2016	2839.68	2839.70	2807.19	2821.67	SSE Composite Index	China-Shanghai
05-23-2016	2826.31	2848.07	2826.26	2843.64	SSE Composite Index	China-Shanghai
05-20-2016	2792.89	2825.95	2785.08	2825.48	SSE Composite Index	China-Shanghai
05-19-2016	2802.31	2829.40	2801.55	2806.91	SSE Composite Index	China-Shanghai
05-18-2016	2828.18	2828.26	2781.42	2807.51	SSE Composite Index	China-Shanghai
